Time	 Feature Set	 Id	Training Time (s)	 Testing Set Classification Time (s)	 Training Set Classification Time (s)	Testing - CorrectRate	 Testing - Sensitivity	 Testing - Specificity	 Testing - SampleSize	 Training - CorrectRate	 Training - Sensitivity	 Training - Specificity	 Training - SampleSize	 Kernel	 PolynomialOrder	 KernelScale	 Standardize	 Solver	 BoxConstraint
2018_11_22_1_14_57	 2_3_4_7_13_16_17_18_21_27	 rbf_2_auto_0_SMO_10	0.0115	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	0	 SMO	10
2018_11_22_1_14_57	 2_3_4_7_13_16_17_18_21_27	 rbf_2_auto_0_SMO_100	0.0115	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	0	 SMO	100
2018_11_22_1_14_57	 2_3_4_7_13_16_17_18_21_27	 rbf_2_auto_0_SMO_500	0.0115	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	0	 SMO	500
2018_11_22_1_14_57	 2_3_4_7_13_16_17_18_21_27	 rbf_2_auto_0_SMO_1500	0.0115	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	0	 SMO	1500
2018_11_22_1_14_57	 2_3_4_7_13_16_17_18_21_27	 rbf_2_auto_0_SMO_2000	0.0115	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	0	 SMO	2000
2018_11_22_1_14_57	 2_3_4_7_13_16_17_18_21_27	 rbf_2_auto_0_SMO_5000	0.0115	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	0	 SMO	5000
2018_11_22_1_15_1	 2_3_4_7_13_16_17_18_21_27	 polynomial_2_1_0_SMO_1	0.0115	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	2	1	0	 SMO	1
2018_11_22_1_15_2	 2_3_4_7_13_16_17_18_21_27	 polynomial_2_1_0_SMO_1500	0.0115	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	2	1	0	 SMO	1500
2018_11_22_1_15_2	 2_3_4_7_13_16_17_18_21_27	 polynomial_2_1_0_SMO_2000	0.0115	0.0006	0.0007	0.9667	1	0.9231	30	1	1	1	122	polynomial	2	1	0	 SMO	2000
2018_11_22_1_16_33	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 rbf_2_auto_1_SMO_1	0.0115	0.0008	0.001	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	1	 SMO	1
2018_11_22_1_16_33	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 rbf_2_auto_1_SMO_5	0.0115	0.0007	0.001	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	1	 SMO	5
2018_11_22_1_16_33	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 rbf_2_auto_1_SMO_10	0.0115	0.0007	0.001	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	1	 SMO	10
2018_11_22_1_16_33	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 rbf_2_auto_1_SMO_500	0.0115	0.0007	0.001	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	1	 SMO	500
2018_11_22_1_16_33	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 linear_2_1_1_ISDA_5	0.0115	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	linear	2	1	1	 ISDA	5
2018_11_22_1_16_33	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 linear_2_1_1_ISDA_10	0.0115	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	linear	2	1	1	 ISDA	10
2018_11_22_1_14_51	 2_3_4_7_13_16_17_18_21_27	 rbf_2_auto_1_ISDA_1	0.0116	0.0007	0.001	0.9667	1	0.9231	30	0.9836	1	0.9574	122	rbf	2	 auto	1	 ISDA	1
2018_11_22_1_16_34	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 linear_2_1_1_ISDA_500	0.0115	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	linear	2	1	1	 ISDA	500
2018_11_22_1_16_34	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 linear_2_1_1_ISDA_2000	0.0115	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	linear	2	1	1	 ISDA	2000
2018_11_22_1_16_34	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 linear_2_1_1_ISDA_5000	0.0115	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	linear	2	1	1	 ISDA	5000
2018_11_22_1_16_34	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 linear_2_1_1_ISDA_10000	0.0115	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	linear	2	1	1	 ISDA	10000
2018_11_22_1_16_34	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 linear_2_auto_1_SMO_1	0.0115	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	linear	2	 auto	1	 SMO	1
2018_11_22_1_16_34	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 linear_2_auto_1_SMO_10	0.0115	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	linear	2	 auto	1	 SMO	10
2018_11_22_1_16_34	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 linear_2_auto_1_SMO_500	0.0115	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	linear	2	 auto	1	 SMO	500
2018_11_22_1_16_35	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 linear_2_auto_1_SMO_5000	0.0115	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	linear	2	 auto	1	 SMO	5000
2018_11_22_1_16_36	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_3_1_1_ISDA_10000	0.0115	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	1	1	 ISDA	10000
2018_11_22_1_14_52	 2_3_4_7_13_16_17_18_21_27	 rbf_2_auto_1_SMO_1	0.0115	0.0007	0.001	0.9667	1	0.9231	30	0.9836	1	0.9574	122	rbf	2	 auto	1	 SMO	1
2018_11_22_1_17_1	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_2_auto_1_SMO_5000	0.0115	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	2	 auto	1	 SMO	5000
2018_11_22_1_17_1	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 rbf_2_1_0_ISDA_1500	0.0115	0.0007	0.0011	0.9667	1	0.9231	30	1	1	1	122	rbf	2	1	0	 ISDA	1500
2018_11_22_1_17_4	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 linear_2_auto_0_SMO_10000	0.0115	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	linear	2	 auto	0	 SMO	10000
2018_11_22_1_17_4	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_4_1_0_ISDA_1	0.0115	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	4	1	0	 ISDA	1
2018_11_22_1_17_4	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_4_1_0_ISDA_100	0.0115	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	4	1	0	 ISDA	100
2018_11_22_1_17_4	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_4_1_0_ISDA_1000	0.0115	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	4	1	0	 ISDA	1000
2018_11_22_1_17_5	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_4_1_0_SMO_10	0.0115	0.0008	0.0011	0.9667	1	0.9231	30	1	1	1	122	polynomial	4	1	0	 SMO	10
2018_11_22_1_17_7	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_2_auto_0_SMO_5	0.0115	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	2	 auto	0	 SMO	5
2018_11_22_1_17_7	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_4_auto_0_SMO_100	0.0115	0.0007	0.001	0.9667	1	0.9231	30	1	1	1	122	polynomial	4	 auto	0	 SMO	100
2018_11_22_1_14_52	 2_3_4_7_13_16_17_18_21_27	 linear_2_1_1_ISDA_1	0.0112	0.0007	0.0008	0.9667	1	0.9231	30	0.9836	0.9867	0.9787	122	linear	2	1	1	 ISDA	1
2018_11_22_1_17_7	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_2_auto_0_SMO_500	0.0115	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	2	 auto	0	 SMO	500
2018_11_22_1_17_7	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_3_auto_0_SMO_500	0.0115	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	0	 SMO	500
2018_11_22_1_17_7	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_4_auto_0_SMO_500	0.0115	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	4	 auto	0	 SMO	500
2018_11_22_1_17_7	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_3_auto_0_SMO_1000	0.0115	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	0	 SMO	1000
2018_11_22_1_17_7	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_3_auto_0_SMO_2000	0.0115	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	0	 SMO	2000
2018_11_22_1_17_7	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_4_auto_0_SMO_2000	0.0115	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	4	 auto	0	 SMO	2000
2018_11_22_1_14_32	 2_7_16_21	 polynomial_3_auto_1_SMO_10	0.0116	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	1	 SMO	10
2018_11_22_1_14_32	 2_7_16_21	 polynomial_3_auto_1_SMO_500	0.0116	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	1	 SMO	500
2018_11_22_1_14_32	 2_7_16_21	 polynomial_3_auto_1_SMO_1000	0.0116	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	1	 SMO	1000
2018_11_22_1_14_52	 2_3_4_7_13_16_17_18_21_27	 linear_2_1_1_SMO_1	0.0108	0.0007	0.0008	0.9667	1	0.9231	30	0.9836	1	0.9574	122	linear	2	1	1	 SMO	1
2018_11_22_1_14_32	 2_7_16_21	 polynomial_3_auto_1_SMO_1500	0.0116	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	1	 SMO	1500
2018_11_22_1_14_52	 2_3_4_7_13_16_17_18_21_27	 rbf_2_auto_1_SMO_1000	0.0116	0.0007	0.001	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	1	 SMO	1000
2018_11_22_1_14_52	 2_3_4_7_13_16_17_18_21_27	 rbf_2_auto_1_SMO_2000	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	1	 SMO	2000
2018_11_22_1_14_52	 2_3_4_7_13_16_17_18_21_27	 rbf_2_auto_1_SMO_10000	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	1	 SMO	10000
2018_11_22_1_14_53	 2_3_4_7_13_16_17_18_21_27	 linear_2_auto_1_SMO_100	0.0116	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	linear	2	 auto	1	 SMO	100
2018_11_22_1_14_53	 2_3_4_7_13_16_17_18_21_27	 linear_2_auto_1_SMO_500	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	linear	2	 auto	1	 SMO	500
2018_11_22_1_14_53	 2_3_4_7_13_16_17_18_21_27	 linear_2_auto_1_SMO_1500	0.0116	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	linear	2	 auto	1	 SMO	1500
2018_11_22_1_14_53	 2_3_4_7_13_16_17_18_21_27	 linear_2_auto_1_SMO_5000	0.0116	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	linear	2	 auto	1	 SMO	5000
2018_11_22_1_14_53	 2_3_4_7_13_16_17_18_21_27	 linear_2_auto_1_SMO_10000	0.0116	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	linear	2	 auto	1	 SMO	10000
2018_11_22_1_14_53	 2_3_4_7_13_16_17_18_21_27	 linear_2_auto_1_ISDA_1	0.0113	0.0007	0.0009	0.9667	1	0.9231	30	0.9754	0.9867	0.9574	122	linear	2	 auto	1	 ISDA	1
2018_11_22_1_14_53	 2_3_4_7_13_16_17_18_21_27	 linear_2_auto_1_ISDA_5	0.0134	0.0007	0.0008	0.9667	1	0.9231	30	0.9836	1	0.9574	122	linear	2	 auto	1	 ISDA	5
2018_11_22_1_14_53	 2_3_4_7_13_16_17_18_21_27	 polynomial_3_1_1_ISDA_1	0.0116	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	1	1	 ISDA	1
2018_11_22_1_14_53	 2_3_4_7_13_16_17_18_21_27	 polynomial_3_1_1_ISDA_500	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	1	1	 ISDA	500
2018_11_22_1_14_54	 2_3_4_7_13_16_17_18_21_27	 polynomial_3_1_1_ISDA_1500	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	1	1	 ISDA	1500
2018_11_22_1_14_54	 2_3_4_7_13_16_17_18_21_27	 polynomial_3_1_1_ISDA_2000	0.0116	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	1	1	 ISDA	2000
2018_11_22_1_14_54	 2_3_4_7_13_16_17_18_21_27	 polynomial_3_1_1_ISDA_5000	0.0116	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	1	1	 ISDA	5000
2018_11_22_1_14_54	 2_3_4_7_13_16_17_18_21_27	 polynomial_3_1_1_ISDA_10000	0.0116	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	1	1	 ISDA	10000
2018_11_22_1_14_56	 2_3_4_7_13_16_17_18_21_27	 polynomial_3_auto_1_SMO_10	0.0116	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	1	 SMO	10
2018_11_22_1_14_56	 2_3_4_7_13_16_17_18_21_27	 polynomial_3_auto_1_SMO_100	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	1	 SMO	100
2018_11_22_1_14_53	 2_3_4_7_13_16_17_18_21_27	 linear_2_auto_1_SMO_1	0.0115	0.0007	0.0009	0.9667	1	0.9231	30	0.9836	1	0.9574	122	linear	2	 auto	1	 SMO	1
2018_11_22_1_14_53	 2_3_4_7_13_16_17_18_21_27	 linear_2_auto_1_SMO_5	0.0113	0.0007	0.0008	0.9667	1	0.9231	30	0.9836	1	0.9574	122	linear	2	 auto	1	 SMO	5
2018_11_22_1_14_56	 2_3_4_7_13_16_17_18_21_27	 polynomial_3_auto_1_SMO_1000	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	1	 SMO	1000
2018_11_22_1_14_56	 2_3_4_7_13_16_17_18_21_27	 polynomial_3_auto_1_SMO_1500	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	1	 SMO	1500
2018_11_22_1_14_56	 2_3_4_7_13_16_17_18_21_27	 polynomial_3_auto_1_SMO_2000	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	1	 SMO	2000
2018_11_22_1_14_56	 2_3_4_7_13_16_17_18_21_27	 rbf_2_1_0_ISDA_100	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	rbf	2	1	0	 ISDA	100
2018_11_22_1_14_56	 2_3_4_7_13_16_17_18_21_27	 rbf_2_1_0_ISDA_1000	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	rbf	2	1	0	 ISDA	1000
2018_11_22_1_14_56	 2_3_4_7_13_16_17_18_21_27	 rbf_2_1_0_ISDA_1500	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	rbf	2	1	0	 ISDA	1500
2018_11_22_1_14_56	 2_3_4_7_13_16_17_18_21_27	 rbf_2_1_0_ISDA_2000	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	rbf	2	1	0	 ISDA	2000
2018_11_22_1_14_57	 2_3_4_7_13_16_17_18_21_27	 rbf_2_1_0_ISDA_5000	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	rbf	2	1	0	 ISDA	5000
2018_11_22_1_14_57	 2_3_4_7_13_16_17_18_21_27	 rbf_2_1_0_ISDA_10000	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	rbf	2	1	0	 ISDA	10000
2018_11_22_1_14_57	 2_3_4_7_13_16_17_18_21_27	 rbf_2_auto_0_SMO_10000	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	0	 SMO	10000
2018_11_22_1_15_2	 2_3_4_7_13_16_17_18_21_27	 polynomial_2_1_0_SMO_1000	0.0116	0.0007	0.001	0.9667	1	0.9231	30	1	1	1	122	polynomial	2	1	0	 SMO	1000
2018_11_22_1_16_33	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 rbf_2_auto_1_SMO_100	0.0116	0.0007	0.001	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	1	 SMO	100
2018_11_22_1_16_33	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 rbf_2_auto_1_SMO_5000	0.0116	0.0007	0.001	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	1	 SMO	5000
2018_11_22_1_16_33	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 rbf_2_auto_1_SMO_10000	0.0116	0.0008	0.001	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	1	 SMO	10000
2018_11_22_1_16_34	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 linear_2_auto_1_SMO_100	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	linear	2	 auto	1	 SMO	100
2018_11_22_1_16_35	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 linear_2_auto_1_SMO_1500	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	linear	2	 auto	1	 SMO	1500
2018_11_22_1_17_0	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_2_auto_1_SMO_1	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	2	 auto	1	 SMO	1
2018_11_22_1_17_0	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_2_auto_1_SMO_100	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	2	 auto	1	 SMO	100
2018_11_22_1_17_0	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_2_auto_1_SMO_500	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	2	 auto	1	 SMO	500
2018_11_22_1_17_0	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_2_auto_1_SMO_1000	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	2	 auto	1	 SMO	1000
2018_11_22_1_17_1	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_2_auto_1_SMO_1500	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	2	 auto	1	 SMO	1500
2018_11_22_1_17_1	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_3_auto_1_SMO_5000	0.0116	0.0008	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	1	 SMO	5000
2018_11_22_1_17_1	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_2_auto_1_SMO_10000	0.0116	0.0008	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	2	 auto	1	 SMO	10000
2018_11_22_1_17_1	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 rbf_2_1_0_ISDA_1	0.0116	0.0007	0.0011	0.9667	1	0.9231	30	1	1	1	122	rbf	2	1	0	 ISDA	1
2018_11_22_1_17_1	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 rbf_2_1_0_SMO_10	0.0116	0.0007	0.0011	0.9667	1	0.9231	30	1	1	1	122	rbf	2	1	0	 SMO	10
2018_11_22_1_17_1	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 rbf_2_1_0_SMO_500	0.0116	0.0007	0.0011	0.9667	1	0.9231	30	1	1	1	122	rbf	2	1	0	 SMO	500
2018_11_22_1_17_2	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 rbf_2_auto_0_SMO_100	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	0	 SMO	100
2018_11_22_1_17_2	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 rbf_2_auto_0_SMO_500	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	0	 SMO	500
2018_11_22_1_17_2	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 rbf_2_auto_0_SMO_2000	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	rbf	2	 auto	0	 SMO	2000
2018_11_22_1_17_3	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 linear_2_1_0_SMO_1	0.0116	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	linear	2	1	0	 SMO	1
2018_11_22_1_17_4	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 linear_2_auto_0_SMO_1000	0.0116	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	linear	2	 auto	0	 SMO	1000
2018_11_22_1_17_5	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_4_1_0_ISDA_2000	0.0116	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	4	1	0	 ISDA	2000
2018_11_22_1_17_5	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_4_1_0_SMO_500	0.0116	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	4	1	0	 SMO	500
2018_11_22_1_17_7	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_3_auto_0_SMO_1	0.0116	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	0	 SMO	1
2018_11_22_1_17_7	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_4_auto_0_SMO_5	0.0116	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	4	 auto	0	 SMO	5
2018_11_22_1_17_7	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_2_auto_0_SMO_100	0.0116	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	2	 auto	0	 SMO	100
2018_11_22_1_17_7	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_3_auto_0_SMO_5000	0.0116	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	0	 SMO	5000
2018_11_22_1_14_32	 2_7_16_21	 polynomial_3_auto_1_SMO_100	0.0117	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	1	 SMO	100
2018_11_22_1_14_32	 2_7_16_21	 polynomial_3_auto_1_SMO_2000	0.0117	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	1	 SMO	2000
2018_11_22_1_14_32	 2_7_16_21	 polynomial_3_auto_1_SMO_5000	0.0117	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	1	 SMO	5000
2018_11_22_1_14_32	 2_7_16_21	 polynomial_3_auto_1_SMO_10000	0.0117	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	1	 SMO	10000
